CustomerID,AccountID,TypeOfAccount,AccountTypeNum,PrimarySecondaryType,ZipCode,DigitalCustomer,TransactionTotal,Churn,BranchNumber,CurrentBalance,CurrentInterestRate,MonthsOpen,PlanNumber,AverageMonthlyAmount,CustomerAge,QuarterlyAverageAmount,DaysSinceContact,Bank,eStatementFlag,OnlineFlag,LegacyBranchNumber,OpeningAmount,CloseReasonCode
41EBD70B-5D7B-4658-9957-1DFB9A686DB7,0D342F52-9DD9-4344-B47B-0033EF00E09E,CD,1,2,8085,1,839.27,0,102,131827.37,1.74,105,29,131827.37,66,131765.24,125,4,0,0,0,121291.33,0
58BD0D9F-BAEA-4A9A-AE97-EB4327146B1D,3DB8406D-23DC-4FD1-8B26-00A6974FAB9D,SV,2,1,7731,1,5000.58,0,22,3000.67,0.03,6,10,3500.66,54,4587.21,47,1,0,0,0,8000,0
9A64C22F-5D90-44CF-812E-5FDB2EDD5686,BC7CC487-31B5-4E5F-9FDB-00DDBB1E58AA,SV,2,1,8210,1,50.91,1,23,0,0.03,135,10,0,65,284.24,73,1,1,0,0,1238.58,6
D1BFD768-D7BD-497B-88A7-CBE1EF14ECEC,2E480493-2595-4A99-942F-005FB83AE78A,SV,2,1,8759,1,5500.38,0,11,5500.65,0.03,7,11,5500.65,60,5500.39,195,1,0,0,0,5500,0
5F01C965-B952-4BE8-9077-95A6B73B8CFF,385D1E7C-E342-49DB-AB88-00C330730A99,DD,0,2,8062,1,-3260.98,0,102,8153.48,0.05,314,134,7843.46,90,7019.29,49,4,1,0,0,0,0
6C2C0A9D-2718-4A4B-95B6-4E4C7A02C6BD,A92EB2B4-1026-4EF6-9E08-01103F7164B9,SV,2,2,8242,0,-3348.46,0,33,3912.59,0.03,215,10,3912.59,18,5049.12,71,3,1,0,0,358.09,0
0527DAF5-0062-4F09-8B03-5DC5F3BD7EC0,8B49CD18-25E4-48B9-B987-003047A76602,SV,2,1,8360,1,1215.08,0,101,2173.53,0.03,168,10,2067.27,61,1376.29,47,4,0,0,0,1000,0
235AFF53-3A50-46DB-8151-EFA1C15B988C,32A99AD6-FB5F-4379-8C9C-008853A708EB,CD,1,1,8109,0,33.73,0,118,5083.35,1.98,12,87,5083.35,88,5075.89,356,4,0,0,0,5000,0
7572265F-7918-472D-89B7-7C348BF96F92,2B103D52-1FC6-4D55-B050-003774660E25,DD,0,2,8360,0,-9437.03,0,134,8640.19,0,14,215,8645.17,60,6737.33,49,5,0,0,0,0,0
E27D0E94-08DC-4B05-97AF-50AB407B7F17,BB5C92E9-B327-457F-AE33-010FC34826F2,DD,0,1,8889,0,7068.97,0,130,171817.54,0.15,241,134,173040.13,0,181449.87,46,4,0,0,0,0,0
CAD5C9F9-808E-45FE-8387-377576EB8B4C,395F053B-B124-4C78-AC73-00A1DF705F53,DD,0,2,8755,1,-2666.53,0,11,352.73,0,243,135,140.9,53,111.59,45,1,0,0,0,100,0
729C3300-250A-4AE1-AC6E-F7790E14658C,0988C8E5-4377-47D9-9863-00B28C4E1B85,DD,0,2,8021,0,-52.36,0,105,51.83,0.25,9,175,20.57,47,12.61,46,4,0,1,0,50,0
AAFCE768-FB12-4A8A-8D1A-2CB92EC87F2B,32A99AD6-FB5F-4379-8C9C-008853A708EB,CD,1,2,8057,0,33.73,0,118,5083.35,1.98,12,87,5083.35,88,5075.89,356,4,0,0,0,5000,0
74C556C4-3262-414C-891B-D45C280BEE06,6105AE73-E2ED-48F9-B59B-008512A2D1DC,DD,0,1,8753,0,199.93,0,9,886.07,0,267,215,736.5,42,700.26,47,1,1,0,32,900,0
0A5A5509-E59D-4746-8F43-0FF4E16BFAFD,B527B9E0-26DB-4F22-ACED-00C303012304,DD,0,2,8242,0,-3406.99,0,35,23447.37,0.01,289,135,20412.53,65,19311.09,46,3,0,0,0,400,0
89294681-2D7E-4F9F-AE7B-6D8810477ACE,F3874B0F-E8AF-47C8-AB0B-004FEA05484B,DD,0,2,8701,0,1043.73,0,1,1289.8,0,315,215,1024.79,50,1013.14,47,1,1,0,0,600,0
6E4FB0B9-97E4-4842-BA32-D8FA13B3246D,531ABF34-E8DA-4F0D-BD91-002EDAFE3595,DD,0,1,8234,1,#N/A,0,64,104.5,0,134,215,104.5,51,104.5,259,3,1,0,0,940,0
6CC6D741-A8CE-402A-B697-13C7C77348D5,634044E7-C74D-4D02-89DC-0339D8A6E2CE,DD,0,1,8090,1,#N/A,1,136,0,0,42,215,0,23,0,248,5,0,0,0,0,0
92EE1B05-CD44-474C-BEB5-DD2A9B0B80B6,793928DC-9DA3-4D18-B5A0-006E2F3B828C,DD,0,2,7722,0,12040.02,0,28,193171.21,0.05,104,4,193171.21,95,193164.01,176,1,0,0,17,200000,0
4717E1EE-5B72-47A5-A2D4-8C1DD864D9DA,7CE2B8ED-A8DE-4432-A84C-00894A16EF63,SV,2,1,33410,1,-6.61,0,62,250012.29,0.03,39,10,250012.29,56,250014.45,83,3,1,0,0,0,0
2E795059-0361-442E-8D73-232365186591,60862071-E209-4EDF-82B9-0106849E6909,DD,0,1,8741,0,-1864.95,0,11,19973.18,0.01,261,135,19545.43,57,17957.87,46,1,1,0,0,200,0
76A19D58-936D-4146-BBC3-96368FC16197,066AB050-DE1E-4D74-A46E-00DB1B8146EB,DD,0,1,8223,0,86.68,0,62,71.28,0,311,215,69.39,60,53.46,49,3,1,0,0,0,0
A31E0683-D0B9-49AE-A9AF-AAE7BEB0CD7E,757C7D5B-82AF-450B-8EA3-0078280360D4,DD,0,1,8092,1,-2018.86,0,18,1098.15,0,54,215,741.45,41,581.89,46,1,1,0,0,150.6,0
8DD2CA04-3E53-4AD7-90B5-2071524F349C,D1356262-2999-4326-ACE7-008F4EC32A9A,SV,2,1,8302,0,-99.94,0,53,50.03,0.05,28,9,37.52,93,4.42,49,3,0,0,0,0.01,0
261F6EF0-977F-4DFF-B3B6-5270615A57DA,568E6F96-5352-4C9B-AF1A-007B0981E340,SV,2,2,8050,0,0.2,0,16,2102.27,0.03,166,11,2102.27,76,2102.17,321,1,0,0,0,2000,0
2A55C97E-CB9D-4B5D-A6D2-6E815EAB76E3,06E19C05-ABE1-4F55-AC23-008D9BF5E1C4,SV,2,1,8270,1,2720.5,0,33,5346.06,0.03,14,10,5346.06,53,5345.8,154,3,0,0,0,2100,0
B2234B85-088B-466A-8EBF-D8FDCA081971,98794CBE-E3D0-4223-B941-00BCF25F07FA,SV,2,2,8723,0,0.04,0,1,345.77,0.03,79,211,345.77,15,345.75,867,1,0,0,0,3005,0
12270BB2-E426-49FE-A5BC-956F94EE1863,403EF5A0-316C-41A4-A3A0-01869C6C4CE2,DD,0,1,7751,0,-13.8,1,125,0,0,3,240,0,56,68.9,75,4,0,0,0,15.44,4
D60677E6-E5A9-4209-AD3F-2F702F891472,47C24069-52C7-46D6-A1FF-0025BF413262,SV,2,1,8610,1,600.05,0,6,300.06,0.03,6,10,300.06,64,504.33,60,1,0,0,0,300,0
CAB54298-D0A2-443F-885E-2D25DA94DBF0,A80CE236-2A32-44FC-BBE4-053ADBD70E59,DD,0,1,8037,0,-54182.09,1,134,0,0.15,117,135,0,54,2163.04,106,5,0,0,0,0,3
6D54313D-B016-4C30-A91B-0572D55FA199,E29CDBB8-FCFA-4568-ADF8-000438A56A76,DD,0,1,8005,1,30,0,20,38.21,0,99,160,38.21,0,38.21,202,1,1,0,0,750,0
236158EE-BB51-4AE6-9B7C-6511222392BB,2A6C7043-B266-417B-A982-0074F187689A,DD,0,1,8069,0,438.66,0,102,5311.64,0,400,214,4972.27,66,5407.01,46,4,0,0,0,0,0
98BB1C3E-CADE-4E58-9AB2-626B7FE584EC,98794CBE-E3D0-4223-B941-00BCF25F07FA,SV,2,1,8723,0,0.04,0,1,345.77,0.03,79,211,345.77,15,345.75,867,1,0,0,0,3005,0
A21D95EB-DD9E-41F2-A45C-A88E10BC3A5D,960741B3-21D4-440B-A73A-0037855682F5,DD,0,1,8850,0,#N/A,0,77,0,0,78,70,0,0,0,1009,1,0,0,0,0,0
212997C6-506F-4693-8CF7-32C368A9966C,5500CDB3-D5D6-4CA4-9D98-00BB34A34F1F,DD,0,1,8210,1,-1209.33,0,39,10.21,0,150,215,98.03,50,112.99,49,3,1,0,0,480,0
2AB9481F-255E-4106-BF9E-9AE0DACFDB7D,16D4E252-4B1D-4460-B1B7-00ACBF961198,SV,2,1,8270,1,#N/A,0,63,159.88,0.03,280,10,159.88,23,159.88,227,3,0,0,0,10,0
4DDC388E-22AA-408F-8291-683A1AEC08A9,857529EA-A920-4494-A8A4-00D6D2DCE08B,SV,2,1,8037,0,-18902.33,0,137,87114.01,0.25,33,10,87114.01,83,87098.07,134,5,0,0,0,0,0
DA31EC36-6280-480B-A4D5-71F0FE865D09,F28A55F6-5156-4BDD-A856-009BA569D506,DD,0,1,8753,1,-2836.29,0,23,187964.55,0.1,125,230,187964.55,49,187987.46,81,1,0,0,0,197235.65,0
7D24C488-EF4A-4227-8E0B-27709016859C,02041B48-EE75-4513-998D-0013D0CBD965,DD,0,1,8722,0,-57.32,1,9,0,0,36,215,0,27,0,140,1,0,0,0,59.54,7
92A81974-BC26-4E14-AA10-16C8D844A3B1,2124D0F6-B226-47F6-8C44-0004368F2E7F,DD,0,1,8085,1,-4061.17,0,102,849.25,0,101,214,603.88,26,728.31,45,4,1,0,0,217,0
EBD2DB93-111B-40D6-81D1-523E02724FAF,ED65E005-3A3D-4CE0-8C3F-03E73C268BEB,SV,2,1,8360,0,-1811.2,1,134,0,0.25,131,10,0,63,346.35,98,5,0,0,0,5000,6
75C00AF4-3A08-4C46-B7A6-AA1D64FE4964,1D278F56-9937-409E-B41E-00E1A52098D8,DD,0,2,8242,1,-6090.43,0,33,372.36,0,364,215,2214.64,60,1634.28,45,3,1,0,0,1374,0
BEAA401D-A81E-49FD-BF73-084ED74E22B8,B035CF6A-E1E5-427E-9DDB-002D94D28299,DD,0,2,8527,1,191.79,0,28,167.09,0,4,11,167.09,16,231.32,53,1,0,0,0,139.6,0
0F150B96-8142-4DBE-B421-176683460771,716BAFD4-4ADB-4DCF-B52A-00C8046C1777,DD,0,2,8648,0,14263.63,0,18,69241.48,0.15,216,134,67554.28,94,61417.29,46,1,0,0,115,0,0
41AE882D-0A37-4987-8DF3-952B10A2A25B,C6786E90-5C1D-4C2B-9631-00351F180C99,SV,2,1,8234,1,534.45,0,44,3178.03,0.03,109,10,3178.03,86,3070.7,66,3,1,0,69,50,0
27C59BB4-D3F3-4CAE-8282-422AC1127602,99FC121B-E209-4025-A944-011BF4EDED8B,SV,2,2,8361,1,-44.97,0,52,166.19,0.03,80,11,166.19,6,185.72,853,3,0,0,57,0,0
443E0CCD-4D27-43DF-821E-A4032AB71648,51CB478B-CFAF-4DEF-BF41-00C91B90E7F6,SV,2,2,8757,0,0.16,0,8,1519.69,0.03,140,11,1519.69,75,1519.61,76,1,0,0,0,1500,0
FC6D0510-FFD4-4724-BF62-70CFDFEA8D87,DDD92185-3B27-4A7E-BE58-006A0301E8B7,DD,0,2,8330,1,#N/A,0,77,0,0,163,70,0,67,0,750,1,1,0,0,0,0
858F7304-A5C7-4F2D-BB6F-6698F3DCD13C,DC781F64-1D0A-490C-8707-00ABA0850186,DD,0,2,7462,0,-75,0,33,71.94,0,300,137,71.94,89,75.56,168,3,0,0,0,310,0
55F086C4-F519-4651-8639-C17712A3CB0F,29198EE9-72EC-4C8A-BAEF-00ABF2B4507A,DD,0,1,8360,1,-7973.24,0,134,2067.32,0,85,214,2986.27,48,1021.35,45,5,1,0,98,40,0
D4CBC6A1-F351-47BD-B489-82DD6FDF4227,C13CC223-29AD-48DF-AE75-00A218086D72,SV,2,1,8234,0,-20,0,48,45,0.03,13,10,45,2,51.43,399,3,0,0,0,100,0
C369F6EB-AE9D-4D14-B632-12EBF71349FE,1D278F56-9937-409E-B41E-00E1A52098D8,DD,0,1,8242,1,-6090.43,0,33,372.36,0,364,215,2214.64,60,1634.28,45,3,1,0,0,1374,0
968BAEFA-20EA-4A78-88FC-2D617BB99F54,B644A045-9BB7-4525-B6D0-00149D40C6D1,DD,0,1,8302,1,-882.42,0,56,601.63,0,139,137,304.57,30,171.81,45,3,0,0,0,0,0
BDD64CF9-C80A-45B8-8CEC-ECC48F7681E7,C9F3D0AA-91F9-44AD-B3E9-0116BFB48AE3,DD,0,2,8318,1,-5000,0,101,2784.16,0,121,214,2784.16,68,2078.19,63,4,1,0,0,2500,0
4E5210ED-FAA5-4533-B6AF-9AFE28423105,89041781-8145-4DE7-91E7-006FBD514F3B,SV,2,1,8210,1,56.35,0,34,15.85,0.03,95,10,834.59,47,769.44,46,3,1,0,0,500,0
51C78F89-8A22-4A3E-B4EB-5609B001DF18,6AC7D6FA-3E86-4BE3-8827-00281144B3E7,CD,1,1,8302,0,76.18,0,53,10311.75,2.96,14,57,10311.75,87,10289.42,430,3,0,0,0,10000,0
5C5F4473-E0F6-4B9B-957D-2CCBA9C9353D,A0A4317F-6C8F-4DBD-B3B7-00C70F74892C,DD,0,2,8731,1,-3204.08,0,10,10766.51,0.01,277,134,11511.11,67,10774.15,47,1,1,0,0,100,0
5C19CC7F-BE6F-442A-AC8C-8CA1D191890A,63DDF99C-2F27-44F6-B65C-00D927DD3F46,DD,0,1,8724,0,#N/A,0,77,0,0,151,70,0,0,0,2500,1,0,0,0,0,0
447B186F-D699-48C6-9161-C778749B3377,08A762B0-ADB2-4246-9104-01031A462A16,DD,0,1,8525,1,10481.48,0,108,40520.03,0.15,362,134,39443.71,77,40073.47,45,4,1,0,0,0,0
146189CC-9DED-4DED-AC53-B51BA45D4C12,DDD902E8-33D3-448E-8D49-00D6B3F15DFE,SV,2,2,8050,0,-3505.21,0,20,250.07,0.03,89,11,250.07,53,363.77,85,1,1,0,0,174.55,0
9C170C98-383E-4411-97EA-07B9630E2D66,927E967A-B5B9-49E8-9117-00B4247C5A78,SV,2,2,8051,0,30.39,0,55,3330.98,0.03,10,10,3768.47,76,3871.93,46,3,0,0,0,5004.13,0
8B463DA7-3829-4A43-841A-999D620C4B21,88886C4B-77A5-4337-8F40-011C1E9EC162,SV,2,2,8724,0,#N/A,0,1,131.8,0.03,185,211,131.8,20,131.8,1197,1,0,0,0,30,0
28FCAAB6-2894-4E07-8EB0-373DE8AEC700,2E541F1D-EB34-4A73-995B-00692713A804,SV,2,1,8876,0,250.49,0,130,4009.25,0.03,16,10,4009.25,63,4009.05,113,4,0,0,0,100,0
733D5AE3-74AE-4A95-952D-1617A7F0766C,385C0ED1-B613-4359-84D8-009E5275A18F,CD,1,2,8204,1,195.1,0,33,34968.63,2.23,73,59,34968.63,71,34911.61,496,3,0,0,0,31500,0
94F24D13-405A-4C58-B544-F87FE25BD9CE,15BBE3AF-582D-4779-BB84-0104681C43AF,SV,2,2,8224,0,1.63,0,18,3409.24,0.15,195,210,3409.24,16,3256.79,55,1,0,0,115,120,0
4847937A-813D-49DA-8C6C-94399B7A4E74,8C2B009E-3FC8-4098-8D07-0023B963EA37,DD,0,2,8753,0,#N/A,0,77,0,0,2,70,0,0,0,47,1,0,0,0,0,0
C1EBD5BC-AC0A-4B29-A0F3-633888495CDE,99247B32-D6E4-4D3D-AF70-0078DF630457,SV,2,1,8731,1,7097.49,0,10,21048.84,0.03,53,10,21298.83,53,26089.31,49,1,1,0,0,30000,0
8E369EF8-B568-4376-9131-36E663DC12CD,9DB99B3B-0C9B-4E7C-9A07-00C46D2451B5,SV,2,1,8853,0,0.2,0,130,1624.75,0.03,142,10,1624.75,0,1624.67,252,4,0,0,0,1725,0
4B3C4315-6B36-4220-98C9-2FD128CCC806,276E2848-DDA6-4C78-A6C2-003B4C9FA147,CD,1,2,7726,1,3.91,0,123,6213.88,0.25,61,19,6213.88,66,6215.21,1282,4,0,0,0,6133.42,0
D5BDE36A-B3F3-4A04-A2FC-9AF6082F4240,A831C816-28D3-4F6F-88D6-000BCFB0F9D0,DD,0,1,8050,0,-35,0,16,2011.67,0,27,215,2011.67,65,2023.96,316,1,0,0,0,22951.67,0
0181D348-FFEA-4870-B744-F9936B0CB783,216EF2F4-3EF9-46EE-A7B0-04FB2A5164C6,DD,0,2,8251,1,#N/A,1,77,0,0,247,70,0,73,0,1169,1,0,0,0,0,0
246743B4-6CDA-4350-B019-B3A7A85FB401,5AE37A14-8426-44DD-8B0A-006AD78E1415,SV,2,1,8251,0,-2349.67,0,36,1457.1,0.03,56,10,1457.1,53,2853.99,73,3,0,0,0,50,0
42824E4C-977F-4936-93ED-E2147FD037EF,2989FB0E-81BC-4DB9-B52E-003EB87A7B0C,SV,2,2,8302,1,0.48,0,53,4753.94,0.03,49,10,4753.94,20,4753.71,374,3,0,0,0,550,0
91774EF0-6AC9-42A5-8257-46FD2BF82ADE,BB94C85A-7824-48C8-BE2A-0067938C071A,DD,0,1,8401,0,41,0,44,36.18,0,13,215,46.15,62,58.11,50,3,0,0,0,50,0
0E98B6B8-8D92-4EF4-99FB-6CD805E0C138,395F053B-B124-4C78-AC73-00A1DF705F53,DD,0,1,8005,0,-2666.53,0,11,352.73,0,243,135,140.9,53,111.59,45,1,0,0,0,100,0
AA075CE8-5F4E-45BB-A2EF-5FEB3B7AF72F,04455C2F-F2BF-4437-BAB2-00294C7ED95F,SV,2,2,8225,1,0.54,0,64,868.81,0.15,117,210,868.81,9,868.6,946,3,1,0,110,25,0
7ACBC66E-1894-4D90-9326-2F5F54B53B63,928C5D1D-EDFC-44A7-BD25-005B57F3C4AB,DD,0,1,8723,0,19577.17,0,1,54347.88,0.05,138,135,54703.4,83,49574.36,48,1,0,0,14,100,0
7B16272F-42CD-4EB8-B54E-D944EB42AA65,B5E0FCDB-12A0-43B4-8998-002331792305,DD,0,2,8046,0,2232.56,0,103,17910.39,0.05,504,134,17929.2,0,16566.57,47,4,0,0,0,0,0
2C6ACC2E-2764-49EB-A6EE-18BC512EE5B5,A7BE9830-C7E9-484B-8A93-005ED10BAF58,CD,1,1,8201,0,2.02,0,48,2405.86,0.25,168,19,2405.86,81,2405.3,984,3,0,0,0,2000,0
59DD185C-7D88-4DB2-B652-3364922887A8,D77F28FC-5477-4259-A089-0103E6FC10C5,DD,0,1,7735,1,-2126.67,0,125,13.29,0,140,214,286.4,38,581.48,50,4,1,0,0,50,0
8D109F3F-45BE-4A53-855C-30A40B9B3B33,6897FCA1-9204-41EA-911C-00A1934C505B,DD,0,2,8406,0,-2929.54,0,43,61.81,0,334,215,84.53,52,91.27,45,3,1,0,113,0,0
99D6DB40-631B-4747-8C12-8E18794C4C63,99123768-4BF8-4AD6-9432-00B33A39BACA,SV,2,1,8540,0,0,0,123,250000,1.74,87,10,250000,12,250143.28,52,4,0,0,0,600,0
D9FCF88B-95C7-4780-ACA1-9C4647FA77C5,DF345749-B877-4FC0-8CC5-010E37965884,DD,0,1,8402,0,-432.96,0,43,105.52,0,104,137,233.01,58,1205.48,45,3,0,0,0,50,0
3BD4EAE1-F515-4AB0-8B13-AECC0BE67E48,FC02F69E-035E-457E-B2B9-00B01AD4C4EA,DD,0,1,8742,1,-7463.42,0,15,1580.93,0,216,179,923.32,51,773.89,45,1,1,0,0,1723.1,0
59AEF6CF-B1C2-4FC3-8EB2-0A7AC0794F74,9E6942E5-6686-4939-B1DE-002C98494A82,DD,0,1,8742,0,-4477.05,0,2,2135.39,0,215,215,2191.11,77,2212.48,46,1,0,0,0,200,0
E5C7FE00-FB7E-46DD-A5B3-F91F962E3F11,91226196-D081-43D2-99A4-00FE14D701FB,SV,2,2,8012,0,-825,0,119,550,0.05,175,189,546.86,86,439.95,50,4,0,0,0,20,0
D4426524-3B38-4FCD-9D32-1852F89648C9,BD4102B0-DBB8-4D97-895D-00F9539BAB07,SV,2,1,8210,0,-14.99,0,63,171.12,0.03,434,11,171.12,0,177.55,244,3,0,0,37,309.83,0
D84A3DBE-B5D5-4298-8051-2E8B9FBD332E,91226196-D081-43D2-99A4-00FE14D701FB,SV,2,1,8078,0,-825,0,119,550,0.05,175,189,546.86,86,439.95,50,4,0,0,0,20,0
CC62CFDD-47FB-4401-94D1-B5ED7E7DB4AF,7BF28986-B7C4-4884-90D7-004A9182D97A,DD,0,2,8021,0,-4482.62,0,63,91995.37,0.05,243,135,91947.25,81,91520.23,46,3,0,0,0,2498,0
6AB730F0-9F98-416B-806E-9559E5B39124,FC978F73-3F8C-4645-B7D3-00C089323912,SV,2,2,8108,0,0.04,0,118,101.73,0.15,54,210,101.73,4,101.71,253,4,0,0,0,100,0
C238E544-C468-4CD5-8DE7-7F06829B836D,EB767692-A8A7-41F8-A3C0-0023E964F06F,DD,0,1,8302,0,-2453.62,0,54,3556.62,0,451,215,4115.92,61,5027.94,46,3,0,0,0,0,0
8378C7D4-4BDF-43DC-BCFC-402004628BA0,B778C2FF-87D0-4E1B-A13D-00FBE269AECD,DD,0,2,8757,0,-862.89,0,1,9825.4,0,404,215,10047.4,0,9787.94,46,1,0,0,0,671,0
9C8CF973-B358-4049-836B-5176E7010630,19B2632E-9D75-47DA-9E36-0126FB6EFD82,DD,0,2,8759,0,-6469.44,0,8,50075.32,0,119,215,50189.56,92,51067.73,46,1,0,0,0,5000,0
BF2BA374-0B74-48B5-9AFE-D3000D959386,0D944E13-814B-4F63-AA21-00B2C3B39F43,DD,0,1,8406,0,-317.74,0,67,172.64,0,47,215,244.17,58,161.97,45,3,0,0,0,5447.8,0
6076D606-F6AE-4EC4-81F8-3D459D968DD6,0B7354EF-A02E-456C-A135-00BA23E4189F,DD,0,1,8053,1,-3,0,105,0,0,17,215,0,28,0,197,4,1,1,0,50,0
3197DF80-5576-4F71-9A02-2BE6DC3524A3,A9095CF2-48F8-415B-BB71-011933280A0D,CD,1,1,8005,0,685.27,0,20,103294.82,1.98,50,87,103294.82,67,103145.49,112,1,0,0,0,97476.42,0
FFF88FF8-F0B9-4747-B32D-4DB1C0B5D877,0B6ABEB6-9E8C-4218-AAAC-000DD8B17190,DD,0,2,8759,1,-2986.27,0,8,464.89,0,105,160,753.42,0,649.62,46,1,0,0,0,1200,0
7CD269D7-4664-427E-B7D7-02E5E139A0C2,407C88EF-FC11-446E-8F12-0008C78072E1,SV,2,1,8753,0,0.27,0,6,2645.16,0.03,166,211,2612.54,13,2564.45,48,1,0,0,0,105,0
61A3A2ED-863C-4FAB-A0A2-D9798CD89907,AD85271A-94CD-4D23-9D74-001E0ADD7819,DD,0,1,8232,1,4776.66,0,109,10958.69,0,140,214,6914.78,49,1572.3,45,1,1,0,112,25,0
71B2D07E-69D9-4CE5-9DA9-0A5C5D3AED9C,7AB811B4-7DA5-417B-BE0F-011FA8957F2A,DD,0,2,8701,1,120.03,0,28,3199.35,0,79,215,3443.1,41,960.08,48,1,1,0,17,2924,0
28D2656A-5A98-49F0-B741-5859BCAD0EB5,9AF436A8-50DE-4CA0-883E-00044748A9F6,DD,0,1,8204,1,-7281.45,0,34,408.09,0,133,137,382.34,60,168.25,46,3,0,0,0,4083.6,0
05716001-DAC9-4EFF-9B3B-91202B69265D,6A21B9F2-E885-44C5-A6B1-0208CDA29092,DD,0,1,8723,0,-128.25,1,1,0,0,37,215,0,69,0,196,1,0,0,0,0,0
05C48E36-FD38-4477-8590-8592574AC9C4,39AD3210-3A2A-4426-A53B-0031DEEDFE19,SV,2,1,8527,0,500.01,0,28,500.02,0.03,4,10,500.02,52,500,109,1,0,0,0,500,0
8F4437BD-24A6-4D19-8EBA-C00E38147200,AA7C66DF-A9D1-4198-8E7C-01164CA98152,DD,0,1,8332,1,-12811.68,0,54,33413.03,0.05,41,134,33413.03,57,33845.28,82,3,0,0,0,100000,0
8A344DC1-7426-4188-8FE0-23CC91728FE8,C4DDD568-366D-455F-A6D6-00BD8F3BE901,SV,2,1,8330,1,2.11,0,48,20890,0.03,117,10,20891.62,61,20892.52,47,3,1,0,68,0,0
